"CROSSTAB TITLE : MRI-Simmons_Crosstab"
"STUDY NAME : Fall 2020 NHCS Adult Study 12-month"
"WEIGHT TYPE : Population (000)"
"START FIELD DATE : 11/04/2019"
"END FIELD DATE : 11/30/2020"
"DATE EXECUTED : 04/02/2023"
"SELECTED BASE : STUDY UNIVERSE"
,,"Total",,"MEAT ALTERNATIVES - HH USES?_YES",,"MEAT ALTERNATIVES - HH USES?_NO",
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",2,**,0,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",94,**,0,**,94,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",16,**,8,**,8,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",164,**,90,**,74,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,54.9%,**,45.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_25 - 34)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,198,**,63,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",18,**,9,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",174,**,122,**,52,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.2%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,70.1%,**,29.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,253,**,42,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",8,**,5,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",117,**,87,**,30,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,74.4%,**,25.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,269,**,36,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",2,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,50%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,70,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",85,**,85,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",14,**,4,**,10,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",199,**,58,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,29.1%,**,70.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,105,**,100,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",18,**,9,**,9,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",174,**,122,**,52,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0.1%,**,0.2%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,70.1%,**,29.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,253,**,42,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",8,**,5,**,3,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",117,**,87,**,30,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,74.4%,**,25.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,269,**,36,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",2,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,50%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,0,**,70,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",1,**,1,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",85,**,85,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,100%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,361,**,0,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",14,**,4,**,10,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",199,**,58,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0.1%,**,0.1%,**,0.1%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,29.1%,**,70.9%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_35 - 44)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,105,**,100,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",11,**,6,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",61,**,53,**,7,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,86.9%,**,11.5%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,314,**,16,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",8,**,3,**,5,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",52,**,34,**,18,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,65.4%,**,34.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,236,**,49,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",13,**,12,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Horizontal %",100%,**,92.3%,**,7.7%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Index",100,**,333,**,11,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Sample",2,**,1,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Weighted(000)",1,**,0,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Horizontal %",100%,**,0%,**,100%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_OTHER NON-HISPANIC) ) ","Index",100,**,0,**,141,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Sample",14,**,9,**,5,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Weighted(000)",73,**,60,**,12,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Horizontal %",100%,**,82.2%,**,16.4%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_HISPANIC OR LATINO) ) ","Index",100,**,297,**,23,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Sample",11,**,6,**,4,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Weighted(000)",61,**,53,**,7,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Vertical %",0%,**,0.1%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Horizontal %",100%,**,86.9%,**,11.5%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_WHITE, NON-HISPANIC) ) ","Index",100,**,314,**,16,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Sample",8,**,3,**,5,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Weighted(000)",52,**,34,**,18,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Horizontal %",100%,**,65.4%,**,34.6%,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_BLACK, NON-HISPANIC) ) ","Index",100,**,236,**,49,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Sample",3,**,1,**,2,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Weighted(000)",13,**,12,**,1,**
" ( (INDIVIDUAL EMPLOYMENT INCOME_LESS THAN $5,000)  AND  (GENDER_MALE)  AND  (AGE_45 - 54)  AND  (RACE AND HISPANIC/LATINO/SPANISH ORIGIN_ASIAN, NON-HISPANIC) ) ","Vertical %",0%,**,0%,**,0%,**
