Company,Brief Description,Protein Category,Company Focus,Technology Focus,Product Type,Animal-Type Analog,Ingredient Type,Operating Regions,Country/Region,State,City,Website,Year Founded,Founders,Logo
Urban Remedy,Produces clean label nut milks. Also sells meal plans and cleanses. ,Plant-based,Dairy,End product formulation and manufacturing,Milk,,"Almond,Cashew,Coconut",U.S. and Canada,United States,CA,Richmond,https://urbanremedy.com/,2012,Neka Pasquale,Screen Shot 2021-01-12 at 3_52_06 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/XivgWVW3HG2pGDjQJq8ozg/TRWTXO11OFnMcAM1Ir85_B0-nhB1ZxX5uEQXwJlOcGJ0odrnwqrVT-YgvfEIpVCX0O25zWNG8I5G4i0T2tydv_8qrDpsV2Y6-E3jRsIOKIuXG3fBJCb7vjM67i5baSZO/MbCGRWPoq-IrX4sHOTPXCs11XvSdfDmB-_LEBrVy9lY)
Vegeat Foods,Maker of plant-based ground beef and burger patties from peas and natural ingredients,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Pea,Coconut,Tapioca",U.S. and Canada,Canada,,,https://vegeatfoods.com/,2018,,vegeat-logo-wh.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/hscyYPSW8LGXd1rT4g5FCA/Z5oRa1dteOojpMHyKuwRyF17nnCrxF543aQc2efJk_ae2GfG5tO7vSZJT-nqY8zODV8NWqMfR1uJKTq5MF8k_lLf-zzDYPhPcOKLyesC0rw/ryC02EC3u1G_gfgveKfbTTDMy0upSD-WLpku0UlPlN8)
Vegan Cartel,Maker of vegan bacon sold direct to consumer,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Wheat,Europe,United Kingdom,,,https://www.vegancartel.co.uk/,2018,,Vegan Cartel London logo.webp (https://v5.airtableusercontent.com/v1/14/14/1674252000000/aoZnaY2JKmRbvvxG0d9n2Q/FppS2gtSro2gjFUt5L_B9qnPngKWyrPgtJJzWNSp_xui1WHz0aQbUOfaoXaEqVut6C70wHjQg2mwrFsjB_Z0GDUtVC5MUeTtYM6IjZOF4I79HYwwd7a2S9DJrDsnp7Tm/nYDCK5gbJ97zLLZ-JfT_sH1Duauz5P05eGG1k-GFCt0)
Novish,"Producer of fish cakes, nuggets, and fingers from peas and wheat",Plant-based,"Meat,Seafood",End product formulation and manufacturing,Ground meat,Fish,"Wheat,Pea",Europe,Netherlands,,,https://www.novish.eu/,2019,Maiko van der Meer,NoFish_logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/F53NXNPukkGcBMbaJVZ4MA/1dxO0cNGXv8jgNUJijNlYggTAlmVbVJzmbdRsbVR3e3pUFwAag1Cn0Ax4B10uh57neGncud0jLFda3DPgAyOMDcxledCNan35F8fICYW0TQ/vTYkDwoOXf3ZSoBbz9XIUKWgeZYjkKMleuLZYEx1xoE)
Vegshelf,B2B Platform for retail-ready plant-based food products,Plant-based,"Contract manufacturing/processing,Other",,,,,Europe,Germany,,Dusseldorf,"
www.vegshelf.com",2018,"Baiba Soika, Marcis Lakstigala",Screen Shot 2021-01-09 at 12_30_35 AM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/MNGP1b3r_FWZMuJTlb1YuQ/7n3p4tYdKwNNJfT-LBquPcQN-7T4LR8Gr8d3UpRRXHHBgZy5oXuaBZdAQd14P4G6e2qR3hZm2VjM9TJtLfcQ-LnzPsD6roaS--cSxATkAHcz1WZT1DaCNyxuc9JDBrWX/Bx7R4reEupYvnUDUH2gmfz-oe2QzXUCqpfV2SpwzGOo)
Freshiez,"Plant-based meat delivered to your doorstep in a meatless butcher box. Made of mushrooms, potatoes, and black beans (soy-free, wheat-free, and dairy-free).",Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Mushrooms,Potato",U.S. and Canada,United States,ME,Portland,http://freshiez.com/,2016,Wes Acker,Freshiez-Logo-with-blk-background-2016.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/5WwEH-dqDrlHv6BBffr81Q/8nPUS4GxZduBD_dmAOZGScjJ7FYIfFq_TuK4qWgfc-rDDmKGWy2gRPyPzXaj-z6tgp079r_QhRUIjN8GhIdQ_dlNesVLSrkSMW_jy99U6f1cBGvvofxLoTOxgZpUo2ex5jmwIw5sJPmtX0IuvSaE-w/GZHFGpKI3fI_g2_bvP1HWbmw4QfpNu6Xpyam38LLqM8)
Primal Spirit Foods,"Produces plant-based jerky (soy, tempeh, and shiitake mushroom-based).",Plant-based,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,Wheat,U.S. and Canada,United States,WV,"Moundsville, WV",http://www.primalspiritfoods.com/,2001,,Primal.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/NIq0QgPbJVAskwmRogN4Ig/hlJzXmT1e-phRqk_el2dt0Gfr_Kb-GcVtUL3D1MoWZAwIG95LcSe2xmwsjT1l8IcUDcJsKKYX9y3DJ8VNZgsz6QSB7pSC2fDL1SyG1wtf7g/490skrvhYnNFp8YrFCXHzdVw__UE_LsxaEJmyj3CI-g)
Dr. Praeger's,"Produces frozen veggie burgers, veggie-potato pancakes, appetizers/snacks/side dishes, breaded fish, gefilte fish, and kids’ products. Not all products are vegetarian/vegan, but the veggie burgers are vegan. ",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Turkey","Pea,Soy",U.S. and Canada,United States,NJ,Elmwood Park,https://drpraegers.com/,1992,"Peter Praeger, Eric Somberg",DrPraegers_Logo_2019_WEB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/6sUlWBD_FPDVLKhmtVtG3A/tdWnHJF5ZTve2Kt2yj1zam9rC4GnY3k9PDrB8mF5hxk8WwC2z-dxNSv5u23bBSFnjAWjRXKyavCgMwi5kX5ehmD7hWdPLNGWPRnLynLr67OUOWXrYnPkbcuwokWx-2eS/J_w6vyOipHhnCAcO_Dhd6wQ3i4I4MAX1aO_Q4okfcLc)
Stockeld Dreamery,"Plant-based cheese, then yogurt and ice cream",Plant-based,Dairy,End product formulation and manufacturing,Cheese,,,Europe,Sweden,,Södertälje,https://www.stockeld.com/,2019,"Soroush Tavakoli, Anja Leissner",Stockeld_Logo_Black_RGB.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/xnYaj0mxMlUWZQZM3-vdNQ/AVoXqXLixdvWFv8eN2NAOykPxfXizsh0na9OHMKD12d0RPzvkHB1VwtHjJdVcadWrqfoJsavFqM0syu7NMVH0J3PF17RaMs1jPZfvTUaLCeJ9dmJIVHFXlSYdCaQBq4e/qZrTOM_OmXiiwi30i0AgEobAkYxhUDe4O2dRqR5sC6s)
The Honest Stand,Produces plant-based cheese dips,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,United States,CO,Arvada,http://www.thehoneststand.com/,2014,"Jeremy Day, Alexandra Carone",Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/sgYiuVchhNeEyvMfGYbvnw/gRukWMCuKrdv0q1ZnSB1gGjmpDkojUJI7THL7aCfZFPhbjsAtahQ-dRz0d2_NAyxifmor1Mi_45cIWibLl9wsnclqYrdBtPxZbm5cZxThgQ/G39RoH2tjrQKKFE-5YswIXcvUz8r431zOivgmNQte1A)
So Delicious,"Produces So Delicious brand plant-based milks (almond, coconut, and cashew-based), ice cream and frozen desserts, yogurts, and creamers. ",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other dairy,Cheese",,"Almond,Coconut,Oat,Cashew",U.S. and Canada,United States,OR,Eugene,http://sodeliciousdairyfree.com/,1987,,SoDelicious_Logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Ky8H4ORReAAC5Z4OP2MVXw/yMErYl0NLWqWU45cNfWCSWIc-lrAUMcHFB2SBWwEVq7prGsAjd40z8otq5-by9JUCuN96NUwYvOdDRuw8F7GqUmY37r3qRtJjq2N53NgpYg/KMBVROCu5OllDgU3qRJgXT5bS3Et1TO55oU_wUrVULQ)
Morningstar Farms,"Produces Morningstar Farms brand meat alternatives, including breakfast products, chicken, beef, veggie burgers, bowls, and more. Widely available in mainstream grocery stores.",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Chicken,Beef/veal,Pork","Wheat,Soy",U.S. and Canada,United States,Michigan,Battle Creek,https://www.morningstarfarms.com/,1967,,msf_logo.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/1buNVqmuONAlsXDch1jrHA/FRHfoTbE9FTE-Zg3Zm0lx673vAk7e8-L7Z0ZnEKx-cnmNqq5JY22HWKvFYZtdhTpAd5adwws7SGq5KqTMLyxj-5yzt-TIpGUSOo-2ongB2s/A4GVJSwhcxc4ihOYl0Z9656Ont7kG6Ii9kf-pzVSVyE)
Marvelous Foods, Plant-based food company in China that produces dairy-free coconut yogurt,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Coconut,Asia Pacific,Mainland China,,Beijing,https://marvelousfoods.com/,2018,Christiana Zhu,Marvelous+Foods+logo+-+Long.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/N5Roce07uwFF-v1wxKSZ_A/_kAS0YNTjif7AB1zmzn4d04ZeahALZZ8WB5HGqFaAum1bEiEBp8P_snYjyIiFj5wpmF3fpYyCtHJ7c7UGUmYzacwrkqzFh3R7vb_5pOMoqMJGIhVGaN2GiFMuGOcYtfs/zSW2fKgg3anRHhiHcr-CQYHQ96RoDYK2v9IbVRb7L2s)
Vitasoy USA,Produces soymilk and tofu. Products are available in supermarkets in over 40 countries.,Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other",,Soy,"Asia Pacific,U.S. and Canada",Mainland China,,Hong Kong,https://vitasoy-na.com/,1940,Lo Kwee-seong,vitasoy-na-logo-revise.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/AhZ5MVH6nVWYdkArA3jLgw/YTOutYWhxc_AQpPc_TFF4TioiBPOjlv5iYJk-JHNBf64CC8avAE1uK27tvmXt1HCdiqwwVcxPZQt68Qntf9zKgz75eugXKIC_QwMN_iUNBpvv9woLOZD5nI37qS34Seb/LgbrCEeVgmgylaoO819xRpcqwe0JlgqpIftRZyYk2VY)
The Craft Meat Co,Maker of a plant-based mince with other products in development ,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Other,"Soy,Wheat",Asia Pacific,New Zealand,,Dunedin,https://www.craftmeat.co.nz/,2018,,Craft+Meat+Co_RGB_Large.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/_0YOMmdu1BKgIBxIgQwJPg/1hID0xd2DOkm8G3RdZGtfsK4aZk4a_s6WzdWLJnvjngQwkPuhZf14W1zI_Mv11yUJ9mZ2wfQM-w-m1B5iKNZcpu2a9tVd4bvRYLmcSn-CgE2YZTubVVaDNrYANJhF3-Z/wPBxUQgH1HtZA_Ku7eVQHIaSSmXHQLu3-ZEO7Vs_-kw)
PAOW!,Produces a plant-based meat substitute. Formerly branded as Oumph!,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Soy,U.S. and Canada,United States,FL,Lake Worth,https://getpaow.com/,2018,Anders Linden,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Fs1UD0Aq50yP0QgH3QOMtQ/djtzOW036dwokaRCD0HchTyjCsZb-YgJPxFHA0ie0lx4hel7y4omA7rg_tTVBWhshL0S70JSSzFiCThJYPaJ0zAIovDo1aM6W80r9JdK714/ndFuOZjhMrTr_BNyhWSLKzyooc_SyqHz-upivaIHT6E)
Suzie's,"Makers of varies products, some of which are vegeterian and/or plant-based",Plant-based,"Dairy,Meat",End product formulation and manufacturing,"Ground meat,Milk,Other",Beef/veal,"Soy,Rice,Oat",Europe,United States,NY,Brooklyn,http://www.goodgroceries.com/,1983,Marty Sokoloff,Suzies_Logo_200x.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/w2A1K26C9SA3SazdbKAFog/IkrMAn1Oa6qodvUmE0L7V1LhMrjv5Fqk_QPFPizG6rUSAK_UsnmmUiMTMMu5LRuPdy3Z9h5pctsA-hrL5rnSRPDi7J4F-VYeIStx_hLnEh4/y5iN-kUuZ0D9WN-SBGNavIHAN6dyC_X9Ff1brga-grY)
Hooked Foods,Maker of plant-based seafood ,Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other,Fish,,Europe,Sweden,,Stockholms,https://www.hookedfoods.com/,2019,"Emil Wasteson, Tom Johansson",1602153347620.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/u8URfpny25NHRwvkdBlavQ/n-loSiVsmVE0bHUr88-Ub3QrXDHDez_uK_EgKK2R3tDa7HAuwRq3URkD1VvdSOYbZaWETIx3OYfUXGyRljkL5btB5FpGsYMOi2WEzuo01ik/8BF_YmomD8mMYyDhZGi_zF62ohAWTK3cApFrrDn0HlE)
El Burrito,"Produces a line of soy-based meat products such as soyrizo, ground meat, taco filing, sausage, and pepperoni",Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Pork",Soy,U.S. and Canada,United States,CA,El Monte,http://elburrito.com/,1980,"Mark Roth, Grace Roth",logo.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/vBMs-Ot8KCZ399CBsShGcg/SN8X2AyFfgUCC2EKQcttvNA4OtxezqZu7i5NI8du1krgvn2rVVUfO5ubEYvubuZEQpPQpZZUDtDkYiki_glmaw/2Y4IIq5QiRZ2y2TfMkPtjIAXuHGqUzku5yxPOmUpQtw)
Frill,UK-based company that produces plant-based ice cream made of whole foods,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,Soy,Europe,United Kingdom,,London,https://www.frill.eu/us/,2014,,frill.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/EzUCaD9ACSOiP55IWSgXUQ/Nq-kBUA4FCJYUGDNcRZpR8BB2MaGE89mlBOkutXDlrDDDdiycZCcWD7NZCQMQKaj6bvLJUMsCw9NszeMFoTmvPiMRDYLADEHnADtG9IA62M/Ktiy-1i6fA-FzK0brNpiCW3Vz2Ry717KXNWHxfE3-1M)
NutPods,Produces dairy-free creamers under the brand name Nutpods. Nutpods is now the highest reviewed dairy-free creamer on Amazon.com and was recently named one of the innovative beverages of 2016 by the Specialty Food Association.,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Coconut,Almond,Oat",U.S. and Canada,United States,CA,Newport Beach,http://www.nutpods.com/,2013,Madeline Haydon,nutpods (1).svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/arwOClqOVbnFYb24j5RyPQ/rcV_CcjJHyl-ebrKwad5K4yl11n5f0aL9z_VnGJPx-NCi7olKkNxlGMiFku11qdSKXD-hKRYfMruwDIRM3U6ixhj5rJDPS_PsSTByw6vIpk/hxhwkISRx7K9kU57SC7T1v_iPPOJOBRrPJBtYrh-9Sw)
Good Karma Foods,"Produces flax-based milks and plant-based dips, sour cream",Plant-based,Dairy,End product formulation and manufacturing,"Milk,Other",,"Pea,Flaxseed",U.S. and Canada,United States,CO,Boulder,http://goodkarmafoods.com/,1996,Loren Wallis,bpt6gi7n3pkvmyily1cm.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/vvfnAbPoKfgAV7iYfb6-0A/Ar3Jz8mdmVw56eh9YyrOz8gVTCSwWfVPa3UUABEfoYDVfOhoC2qpy5jMQwfw9YTrSS11c3DQgguWPh8XKlwGuLZRYSl0ofSVA61J3uwIHmk/zumYm_CSsMZzR2BA6zTZBO1qtcDsaW0hOQ1gEgECkKo)
GO Veggie! (fmr. Galaxy Nutritional Foods),Produces Go Veggie brand lactose-free cheese (both vegan and non-vegan varieties available),Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Pea,U.S. and Canada,United States,RI,North Kingstown,http://www.galaxyfoods.com/,1980,Angelo S. Morini,xywwgyrtaigvkv3x0dg9.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/E-yFm63z4yHR5K1-23AExw/PohNuWvvzIlVMzCEsRK9By5Ek7dQXQHC8qoslo3xKcho1EJ_mjogrEWQSXBwRywc8JO2MqxO-6IxRt83U9LTD2eTzV5xnrHU_HrRlk-BcPE/S8K1YNpAYUCB3XsQeZ_KwjgPya3yM7PVbn0NkJkoSsI)
NovaMeat,3D printed plant-based meat,Plant-based,Meat,"End product formulation and manufacturing,Scaffolding and structure",Whole muscle meat,"Pork,Beef/veal","Pea,Rice,Algae",Europe,Spain,N/A,Barcelona,https://www.novameat.com/,2018,Giuseppe Scionti,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/m5cWssYW88H6H39VrU4hlg/W1ahSQ6hDRFxuTzGaoKz_RV2T76RFVg1L2SL6VH6rS4qRkCGGEWkaGABqE3oYtzRrlXozSOVLXTuC7r646rAPF9DYu_iNCA64ZUWarrWE2M/3skqNvZvHeetVy3_0PYYYmliCRPDpJgmBb0gQCcRQFY)
Unisoy,Maker of plant-based jerky,Plant-based,Meat,End product formulation and manufacturing,Ground meat,Beef/veal,Soy,U.S. and Canada,United States,CA,Los Angeles,https://unisoyjerky.com/,2016,,Unisoy.jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Cll-gWX104Fp0HAeWeu0tA/ICJ3sJczG1_86Au6gbCmfH0c3vdzdCNMkJLXZjLjvyoKE6NDqWCWkp7tzUf0DM_7hw2vOwTYK2WeqCTSueFoH-qSK-IH3M76eA1XMx1llP0/7dIMqKFQWtpZimN-jG_6ne6Nj7noio5LUd8mIe8mNNI)
Hari & Co,Maker of plant-forward plant-based meats and soups from beans,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,Beans,Europe,France,,Lyon,https://www.hari-co.com/en/,2014,"Benoît Plisson, Emmanuel BREHIER
",logo-hari-co-black.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/DQeuoPKxmEkqLYmrAVAP9A/apGbLk-r3X5sZakOFAm8HvHSgincirsQm3GPA9LhzVXPlzqjBh5K7iUvx3TcanprYmchAw4AP-299TsbEl76CRlx0p48aVWQuy0yBF30xC8/AE1LBEuQr9FRhzgDUNl787PncEIjmwpALaabhSNBcEY)
Schouten Food,Producer of a variety of plant-based meats; provides private label production.,Plant-based,"Meat,Contract manufacturing/processing,Seafood",End product formulation and manufacturing,Other meat,"Chicken,Beef/veal,Fish,Tuna","Wheat,Soy",Europe,Netherlands,,Giessen,https://www.schoutenfood.com/usa/,1930,"Marinas, Bart, and Otto Schouten",schouten.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/JDRzqAjoPpbtXcugGpp4cg/04-qQj9cWTcKLRevVVW_QkoJQJrDUP_Xh6C6PqsHni44UImlvdfZTmrHg_eOdtUg1gVxONuhkl-OJNnKT_fRGfwMvSnL6oG9AKVyZ56LPjo/rd4sl_PFNhcPjtqYwgCSzz0oydkYWHAfATVazM6eJ30)
Organic Nectars,"Produces Cashewtopia brand gelato, as well as plant-based chocolates and sweeteners.",Plant-based,"Other,Dairy",End product formulation and manufacturing,,,Cashew,U.S. and Canada,United States,NY,Malden-On-Hudson,http://www.organicnectars.com/,2004,Lisa Protter,ll.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/JSP_odNmPmzOCftOQeZRGg/v6De_NLCdOhmHrkgf5SkW7tjyChoq0IsVL2QUqxmaATHKI4iEmqq6swImjArqJpqPBqtqaN9_3jYV9PCm9lthg/GkhP5VpOyUd62OUomd6P2HOSeyFfBK8cRuE_yk6ig-Q)
The New Butchers,Brazilian producer of plant-based chicken and ground beef ,Plant-based,"Meat,Seafood",End product formulation and manufacturing,"Ground meat,Other meat","Beef/veal,Chicken,Fish,Shellfish","Pea,Rice,Lentils",Latin America,Brazil,,Sao Paulo,http://www.thenewbutchers.com.br/,2019,,the new butchers.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/V0AfrBNWRmK9gX0FAXtxaA/_vzd78jAYObgjzq7M6VVFT-2ZlTjCO7K_v1resZ23H38ry57Ca6SlXT-ip2rkCdJc03OnJokGvN3IpWbolL-64u0viTOc2oldxyYwhzYT2Q/Ztctyjqb5xUpRwglJiEgkVneUbVwI0CZTleYne8UBg8)
Fauxmagerie Zengarry,Produces artisanal plant-based cashew cheese,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Cashew,U.S. and Canada,Canada,ON,Alexandria,https://www.zengarry.com/,2013,Lynda Turner,download (2).jpg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/zKad3g69G2w-U9cwPmm1NQ/xTJ4SRoPn2Yzeur55a8Q7xLpTqxWSrWxlWi6wThpvi7WT4uhnJN8Azb7HhT3OG2H2-qu7lIbHftZu0hE87TNCJesNtATCb-KSqegzL6BkQg/EartxNLGCjIkvQKwsz1nmFk_Ipbi_a2aQ3NDtdp57Y8)
Heura,Producers of a variety of plant-based meats,Plant-based,Meat,End product formulation and manufacturing,"Ground meat,Whole muscle meat","Chicken,Beef/veal,Pork,Fish","Soy,Pea",Europe,Spain,,Barcelona,https://www.heurafoods.com/en-GB/home,2017,"Marc Coloma, Bernat Ananos Martinez",q3t3jj6x82kfd7xvr0g1.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/MgdSTvF6YvLakcajVgJw2Q/4iJFPUfVaqqOLVjRi_CeQe5A83fJ0Zq0RRPR8xNJWHDRQhsOmFhqis2edUm2CjEpI_NrENfUGS6ZTfOpLItAPJfa5uxqj4nV-14H0GT5G8E/ARyOe6eA3yTqF1uXlJGTpkw1XwI0K47snowj3vccnek)
More Foods,Producing beef via a high protein yeast blend. ,Biomass fermentation,Meat,End product formulation and manufacturing,Whole muscle meat,Beef/veal,,Africa/Middle East,Israel,,Tel Aviv,https://www.more-foods.co/,2019,Leonardo Marcovitz,Screen Shot 2021-01-04 at 1_28_31 PM.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/97_-yXK9Lus5DUdxhkbDhg/beQEnuJGrIG1_OG-Q3_dXVvYj_qL2HdngXxcEaX1pGmrp1I5D77Yh4pbxAWWbFRBA2iE-1e_DaDUZkAsVZtmHF4XSO9oJepqL7JIuOlGl9MvpvdVhJHr3YkhfKWGhm36/DEi4sKIk5cuY-_g55-vGtmfY0QGJJAMbLyWMEOa2kG8)
WayFare,"Produces plant-based dairy products like butter, sour cream, pudding, cheese, and dips. ",Plant-based,Dairy,End product formulation and manufacturing,"Cheese,Other dairy",,"Butter Bean,Oat",U.S. and Canada,United States,MT,Bozeman,https://wayfarefoods.com/,2009,,WaFare_Logo_4col.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/fOtZ24D9Sti8_1qkD2Zp_Q/_4QfBqx46jx2nSbYnFG7N3wIRvuJ3aX8rjLAyjRUJsUwIruwg3YqObscavst80lL2kTTPbHwn2qVwO8b--Df1kescHA-fhJh4fme-BerstU/BpUyQfWPeMQ7tqoP8rQteoxyG7OjiAsKFQequvDLgTU)
YamChops,Plant-based butcher offering their own line of plant-based meats as well as other manufacturers' products. They have a storefront in Toronto.,Plant-based,Meat,End product formulation and manufacturing,Ground meat,,"Soy,Wheat,Pea",U.S. and Canada,Canada,BC,Surrey,https://yamchops.com/,2014,,Capture.JPG (https://v5.airtableusercontent.com/v1/14/14/1674252000000/58OVdvSZ5JM8z7pA6q4qhQ/QJJYbGDvUvJyAuPM4b2kmQDO3fcfo9oSZ-PMQwggLpAUAptGVfrcN_t04MJlka9049ql5HXj77eligbDKgLrSP65VzjJDBsGszeMeC1kUig/eGh5JmjJEfn618ypgJk4fw3Lc0x6dwhqDD5X6j_1GpM)
NadaMoo!,U.S.-based company producing coconut milk-based ice cream,Plant-based,Dairy,End product formulation and manufacturing,Other dairy,,"Coconut,Almond",U.S. and Canada,United States,TX,Austin,http://nadamoo.com/,2004,Daniel Nicholson,nadamoo.svg (https://v5.airtableusercontent.com/v1/14/14/1674252000000/wttUlciyNBUuhG84q-rcrA/cVWdG35Ycx8-b2FrvfKBCRVxvyiEgQ1TV83XEvy6Gnr_BCz9YWbdAnL_UYBZ_kG_efAA9HXE3GtgrNJyVTELKW4o-MaO7ZgC8oPvITLBj-0/uC0TpgUGkG51-fSeJoC_FOF-Sz6ODvABQhxpWqVDq5w)
Nature & Moi,Produces vegan cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,Coconut,Europe,France,N/A,France,http://www.nature-moi.fr/,2015,Bertrand Jouault,logo-nature-et-moi.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/mxlq6bw-2dzaz2p0D-sm9g/69upQblAWRVdS2IhJHxlt_4PNv0Wc3Rk0jKZITUCrBkL1bGiIfXbD0D5HmQsboctB7DdO0D75fmAhCg2W7uwJZK_rYTkcGV96tFbxt4dttc/gfS_haBiX_tWQ_i76MMhWYvh-VD6fI0O2Rd8w5LSlNM)
Fresh Start Fauxmage,Produces artisan vegan cheeses,Plant-based,Dairy,End product formulation and manufacturing,Cheese,,"Cashew,Coconut",U.S. and Canada,Canada,PE,Charlottetown,https://freshstartfauxmage.ca/,2016,Julain Molnar,BlackRevlrg.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/XyoO6IwwvHGyHONVp2C6Nw/znLBfkG-1RHq6o8E8FWZtQh8-shVuPITwkjth2I1I4tbtoy4cTOaxIlW1IabEqfmMBRHDAOP3K-PAZI3Y6lJ4Ikw_o_JqHcWb2remJaZBss/lyBoKE_z3lwjt-s53BST_o4EyBpHb3_9G1U_nFIAN_0)
Hooray Foods,US-based company that produces plant-based bacon.,Plant-based,Meat,End product formulation and manufacturing,Other meat,Pork,"Rice,Tapioca,Coconut",U.S. and Canada,United States,CA,San Francisco,https://www.hoorayfoods.com/,2019,Sri Artham,Hooray+logo_F-white+logo-tightcrop.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/61WAPwJljwF1kt5R1Ojckg/6_cxeji0oS4hEGz7WTWMn3pJ6TqLYI4ybu_AJ7HhTR7y5n5-4rMl1lxc3ixiqorVLpOaKujqvBv2K7ycpk_ePJPXktDbmOQ_Bp90y9DtgfirWbfL2VFo8J1cZnAlr3A8/GOGz7fY60ynUUbngHsupATnrnLYZAovkyD1DaHVbg68)
Plant Veda,"Produces probiotic beverage and Indian cashew Lassi. Founders have another company, Karma Milk Private Limited, which produces the same products in India. ",Plant-based,Dairy,End product formulation and manufacturing,Other,,"Cashew,Oat",U.S. and Canada,Canada,CA,San Francisco,https://www.plantveda.com/,2019,Vanita Gurnani,Plant_Veda_New_Logo_70x@2x.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/1zikxq9msMfjHoIdaRqyrg/OzGCI28OcYanv-9xz8PDkRmuS_-_X_TOidCYlvmPWdN_GeZ-P3haoa9XpleOq6o5Snq3AABqHluwKyGGzNykEEhRHIPHiLv5zzFVXko1IntbLBqBhjocnI8iJoFHteyK/UcbwYBs_wbJps-8ctOzZ3Ud1gCNwOPKa6913gCWVedw)
V2 Food,Startup producing biomimicked plant-based beef made from legumes,Plant-based,Meat,End product formulation and manufacturing,Ground meat,"Beef/veal,Other",Soy,"U.S. and Canada,Asia Pacific",Australia,,Sydney,http://www.v2food.com/,2019,Nick Hazell,v2_roundel_RGB_on_white_circular_BG_01_64490f29ca.png (https://v5.airtableusercontent.com/v1/14/14/1674252000000/Kj1jxAWk4KrBNE4_4yFNhw/BHyJ9d_zgA3bWTSPVUI8I6Oqs_AzsPTFlzFBxDCNa-S5zsef4qEX_brsPMlulFHTan75-kIzS7fYBpvqUZOKztxi00YZWmelNxx2KImXgwsBRccl8EgaQtfuvPuyzv9KrVFjnOsQEyWb3Xxp1fzPYw/WQgb9_oCPSZClaBFWI2d2J7Xy5gbHBp3DGIZBcWZz5Q)
